Proteins	Genes	Cerebellum	Frontal_Cortex	Heart	Kidney	Liver	Lung	Spleen	Amygdala	Entorhinal_Cortex	Gut	Olfactory_Bulb	Striatum	Thalamus	Substantia_Nigra
Q9JJA2	Cog8	12.03938539	11.94341577	11.45381876	11.88162773	13.64311218	12.31883581	12.62018614	12.0704741	11.85538326	12.31651748	11.69271939	11.85494878	11.98210725	11.73487668
Q9JJA4	Wdr12	14.16390857	13.10128278	11.7731433	13.16485836	12.10931257	14.24918715	14.66189392	12.50382801	14.4698269	13.89633019	14.89797189	14.96265636	13.61461504	12.72285004
Q9JJA7	Ccnl2	NA	NA	NA	7.844686586	NA	9.068314673	10.1070866	NA	NA	10.11227858	8.616552209	NA	NA	8.491486363
Q9JJA9	Tamalin	NA	12.49050295	NA	9.591430267	NA	12.62467082	NA	12.90163613	12.83926508	NA	12.71402424	12.49632255	10.58287323	11.02821228
Q9JJC6	Rilpl1	13.41433701	14.50431879	13.33791163	13.93223783	6.341597675	13.92784891	11.5009906	14.23694004	14.82632645	11.89037361	13.82621714	14.27672023	13.87610436	14.12881553
Q9JJC9	Herpud2	5.931125231	6.363479627	NA	7.619648354	9.089290629	6.547787696	9.255779062	6.29313582	8.055600512	NA	7.480779212	6.444398679	NA	NA
Q9JJD0	Thap11	11.68150002	9.873467203	NA	10.28746864	9.206555536	10.31793075	11.6686243	10.63102834	10.31969986	12.10111651	11.63791979	11.14946682	10.55944192	10.25905902
Q9JJE4	Paqr4	12.23994154	10.89084583	12.18916718	NA	NA	13.93713112	15.01695581	11.14861152	11.00248922	13.67574992	11.13056177	11.60947505	12.22950828	12.55821231
Q9JJE7	Fads3	13.21414698	11.99125361	11.48321001	12.26139239	NA	11.38350798	8.928290236	10.89140197	11.84953212	10.27021312	10.82807732	10.43864113	10.79156793	10.58242018
Q9JJF0	Nap1l5	15.55377858	14.77296289	11.89461395	NA	NA	NA	9.906487164	16.5322929	15.18036031	NA	14.77632742	15.1244089	17.36678123	16.62656212
Q9JJF3	Riox1	9.800516513	11.33695261	NA	9.958007677	9.887702906	11.00972886	12.16081851	11.00367012	11.82221108	11.73970252	12.15513795	11.28815656	10.89656822	9.942166323
Q9JJF9	Sppl2a	7.390088267	NA	8.818150548	11.83742638	11.00996836	9.361746371	10.1155279	7.576123161	11.45476514	11.7719873	NA	9.214608808	9.30319528	7.643190623
Q9JJG0-3	Tacc2	13.50306764	13.37867457	13.48346839	12.58917951	12.61102669	11.29872242	12.08959309	15.93968995	13.98653487	12.31195274	15.36477784	10.65018547	14.09023113	14.62167572
Q9JJG6	Tmem47	13.19568611	13.16700127	11.72139563	NA	9.440397202	11.56054608	9.109092329	13.51553312	13.1271487	10.79418873	12.65730123	12.98676385	13.26447885	13.23737727
Q9JJH1	Rnase4	10.77245408	11.95355182	13.75785218	14.71133055	15.16841699	15.04955367	12.91296793	9.020198909	10.77844069	13.45492891	10.43458974	10.42610368	11.5493365	10.92486313
Q9JJH7;Q9JJH7-2;Q9JJH7-3	Trpm5	9.928297423	9.64404112	13.13863037	11.9244829	10.86663875	9.364245472	9.149854087	10.81435775	10.30116591	12.4058695	10.56862208	10.57070805	10.44039386	10.67646042
Q9JJI8	Rpl38	18.50038558	18.79172511	18.37283025	19.36306183	20.35613237	18.90994249	19.23652859	18.46787699	18.4551251	20.01600248	18.43742231	18.26216711	18.25586628	18.11669732
Q9JJJ7;Q9JJJ7-2;Q9JJJ7-3;Q9JJJ7-4	Porcn	13.20415691	13.10306417	NA	9.198318205	8.920970407	12.77084511	8.008497481	13.33103171	13.69525354	9.759546069	13.04240927	13.61801912	13.03732169	13.11874163
Q9JJK2	Lancl2	16.26474952	17.07206497	14.42264727	14.08168727	13.82922959	14.39611503	14.02501065	16.88589673	17.21190837	14.55680596	16.69394911	17.09131985	16.78961835	16.63018703
Q9JJL8	Sars2	14.20019952	14.1579641	14.01751379	13.51869974	14.03712361	12.16353804	13.79330674	13.65268386	14.20800575	13.26482395	13.8289974	13.86532327	13.43549971	13.69676723
Q9JJN5	Cpn1	11.03048984	NA	14.92848389	12.37703402	14.05281795	14.27900644	12.44457742	8.170331228	11.12359971	11.49935654	11.85127492	7.972013751	9.841256805	10.05356573
Q9JJN6	Ctnnbip1	12.10673172	13.11435696	NA	NA	NA	10.61652722	NA	13.57329816	13.90156988	13.08575951	13.85447829	13.31300553	13.63255857	14.12246103
Q9JJQ0	Pigb	8.086116661	7.276239774	NA	9.584274214	8.537015975	9.617585863	9.245647822	8.146375939	6.917742035	8.620830536	7.619761801	6.795161606	6.868027339	6.387359895
Q9JJR6	D7h11orf16	NA	NA	NA	NA	NA	11.73261014	NA	NA	NA	NA	NA	NA	NA	NA
Q9JJR8	Tmem9b	14.3204455	14.32020231	10.83915138	13.96142688	12.8477707	12.46933761	13.13931821	14.31497932	14.15412578	12.82336406	13.9559965	14.09974732	14.49265698	14.60451901
Q9JJR9	Nrip3	10.97475678	12.32692189	NA	NA	NA	NA	NA	12.05038386	12.52928078	NA	15.07284989	10.78342013	12.97194114	12.97989471
Q9JJS6	Bco1	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.528230934	NA	NA	NA	NA
Q9JJT0	Rcl1	9.565673515	8.718547389	NA	10.1941716	10.82200242	10.85157978	13.05093361	9.084661724	8.48998146	11.90495739	10.29757023	8.339304147	8.307782611	7.912736549
